# wave        flux         error        rest-wave
# Combined Miri LRS and Nirspec Spectrum of WISEAJ215949.54-480855.2
# Wl (um)     Flx (Jy)     Error (Jy)   Res(lambda/deltalambda)
 3.2761e+00   5.0335e-06   2.9645e-06   1.3466e+02
 3.2882e+00   9.1045e-06   3.0567e-06   1.3566e+02
 3.3003e+00   6.8164e-06   3.1028e-06   1.3665e+02
 3.3123e+00   2.9836e-06   3.1339e-06   1.3764e+02
 3.3244e+00  -1.5734e-06   3.1770e-06   1.3864e+02
 3.3363e+00   5.0240e-06   3.2332e-06   1.3963e+02
 3.3483e+00   4.2988e-06   3.1328e-06   1.4063e+02
 3.3601e+00   6.0577e-06   3.2155e-06   1.4162e+02
 3.3720e+00   5.8257e-06   3.3505e-06   1.4262e+02
 3.3838e+00   9.7488e-07   3.2662e-06   1.4361e+02
 3.3955e+00   2.7440e-06   3.3132e-06   1.4462e+02
 3.4073e+00   8.4739e-06   3.4606e-06   1.4561e+02
 3.4189e+00   8.0670e-06   3.4472e-06   1.4661e+02
 3.4306e+00  -1.6514e-06   3.5530e-06   1.4761e+02
 3.4422e+00   2.2019e-06   3.3929e-06   1.4861e+02
 3.4537e+00   4.6049e-06   3.4414e-06   1.4961e+02
 3.4653e+00   6.1298e-06   3.4030e-06   1.5061e+02
 3.4768e+00   5.1256e-06   3.4548e-06   1.5161e+02
 3.4882e+00   5.2246e-06   3.4365e-06   1.5261e+02
 3.4996e+00   1.5620e-06   3.5648e-06   1.5362e+02
 3.5110e+00   7.3363e-06   3.5887e-06   1.5462e+02
 3.5223e+00   1.2506e-05   3.6047e-06   1.5562e+02
 3.5336e+00   1.4521e-05   3.6249e-06   1.5662e+02
 3.5449e+00   1.2900e-05   3.6437e-06   1.5763e+02
 3.5561e+00   1.2100e-05   3.9880e-06   1.5864e+02
 3.5673e+00   1.4033e-05   3.9297e-06   1.5964e+02
 3.5784e+00   1.5818e-05   3.6964e-06   1.6065e+02
 3.5896e+00   1.5687e-05   3.7735e-06   1.6165e+02
 3.6007e+00   1.6849e-05   3.8790e-06   1.6266e+02
 3.6117e+00   2.0941e-05   3.9806e-06   1.6367e+02
 3.6227e+00   3.2220e-05   3.9203e-06   1.6467e+02
 3.6337e+00   3.7835e-05   3.9780e-06   1.6568e+02
 3.6447e+00   4.1779e-05   3.9639e-06   1.6669e+02
 3.6556e+00   5.4645e-05   4.1108e-06   1.6770e+02
 3.6664e+00   5.2691e-05   4.2782e-06   1.6871e+02
 3.6773e+00   5.3280e-05   4.2687e-06   1.6972e+02
 3.6881e+00   5.9149e-05   4.1726e-06   1.7073e+02
 3.6989e+00   6.6394e-05   4.4149e-06   1.7174e+02
 3.7097e+00   6.0806e-05   4.4323e-06   1.7275e+02
 3.7204e+00   6.5770e-05   4.4556e-06   1.7377e+02
 3.7311e+00   7.1524e-05   4.5295e-06   1.7478e+02
 3.7417e+00   8.0866e-05   4.5489e-06   1.7579e+02
 3.7523e+00   1.0429e-04   4.7575e-06   1.7680e+02
 3.7629e+00   1.1032e-04   4.8243e-06   1.7781e+02
 3.7735e+00   8.4462e-05   4.6475e-06   1.7882e+02
 3.7840e+00   8.7762e-05   4.7559e-06   1.7984e+02
 3.7946e+00   9.4967e-05   4.8085e-06   1.8086e+02
 3.8050e+00   1.1597e-04   4.8621e-06   1.8187e+02
 3.8155e+00   1.4061e-04   5.1668e-06   1.8289e+02
 3.8259e+00   1.6393e-04   5.2793e-06   1.8390e+02
 3.8363e+00   1.5295e-04   5.2252e-06   1.8492e+02
 3.8466e+00   1.0695e-04   4.8686e-06   1.8593e+02
 3.8570e+00   1.1596e-04   4.9763e-06   1.8695e+02
 3.8673e+00   1.3497e-04   5.2154e-06   1.8797e+02
 3.8775e+00   1.4934e-04   5.2413e-06   1.8898e+02
 3.8878e+00   1.5670e-04   5.4221e-06   1.9000e+02
 3.8980e+00   1.5891e-04   5.3996e-06   1.9102e+02
 3.9082e+00   1.6922e-04   5.5240e-06   1.9204e+02
 3.9184e+00   1.8375e-04   5.6195e-06   1.9305e+02
 3.9285e+00   1.9793e-04   5.7464e-06   1.9407e+02
 3.9386e+00   2.0791e-04   5.8009e-06   1.9509e+02
 3.9487e+00   2.0984e-04   5.7958e-06   1.9611e+02
 3.9587e+00   2.2348e-04   5.9388e-06   1.9713e+02
 3.9688e+00   2.3048e-04   6.1786e-06   1.9815e+02
 3.9788e+00   2.2131e-04   6.1955e-06   1.9917e+02
 3.9887e+00   2.4943e-04   6.1852e-06   2.0020e+02
 3.9987e+00   2.6794e-04   6.3408e-06   2.0122e+02
 4.0086e+00   2.5673e-04   6.3216e-06   2.0224e+02
 4.0185e+00   2.6903e-04   6.3506e-06   2.0326e+02
 4.0284e+00   2.8470e-04   6.5715e-06   2.0428e+02
 4.0382e+00   2.6948e-04   6.5068e-06   2.0531e+02
 4.0480e+00   2.9149e-04   6.5832e-06   2.0633e+02
 4.0578e+00   3.1734e-04   6.7519e-06   2.0735e+02
 4.0676e+00   3.3111e-04   6.7523e-06   2.0837e+02
 4.0774e+00   3.2463e-04   6.8506e-06   2.0940e+02
 4.0871e+00   3.3748e-04   7.1228e-06   2.1042e+02
 4.0968e+00   3.3977e-04   7.2147e-06   2.1145e+02
 4.1065e+00   3.2921e-04   7.1675e-06   2.1247e+02
