# wave         flux         error        rest_wave
# Combined Miri LRS and Nirspec Spectrum of WISEJ150115.92-400418.4
# Wl (um)     Flx (Jy)     Error (Jy)   Res(lambda/deltalambda)
 4.3974e+00   3.9710e-04   9.9696e-06   2.4387e+02
 4.4064e+00   4.1855e-04   1.0072e-05   2.4490e+02
 4.4154e+00   4.4003e-04   1.0035e-05   2.4594e+02
 4.4244e+00   4.2676e-04   1.0020e-05   2.4698e+02
 4.4333e+00   3.6615e-04   9.7138e-06   2.4801e+02
 4.4422e+00   3.6883e-04   9.8076e-06   2.4903e+02
 4.4511e+00   3.5868e-04   9.7146e-06   2.5007e+02
 4.4600e+00   3.4444e-04   9.8311e-06   2.5111e+02
 4.4689e+00   3.0438e-04   9.6146e-06   2.5215e+02
 4.4778e+00   3.0851e-04   9.7469e-06   2.5317e+02
 4.4866e+00   2.8962e-04   9.8776e-06   2.5420e+02
 4.4954e+00   2.8353e-04   1.0092e-05   2.5524e+02
 4.5042e+00   2.6786e-04   9.7010e-06   2.5628e+02
 4.5130e+00   2.5000e-04   9.5512e-06   2.5731e+02
 4.5217e+00   2.3780e-04   9.8200e-06   2.5834e+02
 4.5305e+00   2.2574e-04   9.5639e-06   2.5938e+02
 4.5392e+00   2.2220e-04   9.5691e-06   2.6043e+02
 4.5479e+00   2.1934e-04   9.6349e-06   2.6146e+02
 4.5566e+00   2.0797e-04   9.6027e-06   2.6249e+02
 4.5653e+00   2.0525e-04   9.8212e-06   2.6353e+02
 4.5739e+00   2.1960e-04   9.8907e-06   2.6457e+02
 4.5826e+00   2.0961e-04   9.7679e-06   2.6560e+02
 4.5912e+00   2.2618e-04   9.9669e-06   2.6664e+02
 4.5998e+00   2.3374e-04   1.0269e-05   2.6769e+02
 4.6084e+00   2.4802e-04   1.0139e-05   2.6872e+02
 4.6169e+00   2.3011e-04   1.0179e-05   2.6975e+02
 4.6255e+00   2.2962e-04   1.0410e-05   2.7079e+02
 4.6340e+00   2.4800e-04   1.0687e-05   2.7184e+02
 4.6425e+00   2.5986e-04   1.0851e-05   2.7287e+02
 4.6510e+00   2.7168e-04   1.1400e-05   2.7391e+02
 4.6595e+00   3.3202e-04   1.1618e-05   2.7496e+02
 4.6680e+00   3.7619e-04   1.1127e-05   2.7599e+02
 4.6764e+00   3.5475e-04   1.1226e-05   2.7702e+02
 4.6849e+00   3.2206e-04   1.0911e-05   2.7807e+02
 4.6933e+00   3.1336e-04   1.0989e-05   2.7912e+02
 4.7017e+00   2.9711e-04   1.0867e-05   2.8014e+02
 4.7101e+00   2.7376e-04   1.0876e-05   2.8120e+02
 4.7184e+00   2.5613e-04   1.0992e-05   2.8224e+02
 4.7268e+00   2.6204e-04   1.0891e-05   2.8327e+02
 4.7351e+00   2.4982e-04   1.0789e-05   2.8432e+02
 4.7434e+00   2.6953e-04   1.1112e-05   2.8536e+02
 4.7517e+00   2.7876e-04   1.1371e-05   2.8639e+02
 4.7600e+00   2.6690e-04   1.1372e-05   2.8745e+02
 4.7683e+00   2.6047e-04   1.1347e-05   2.8849e+02
 4.7765e+00   2.4841e-04   1.1242e-05   2.8952e+02
 4.7848e+00   2.3294e-04   1.1478e-05   2.9057e+02
 4.7930e+00   2.6592e-04   1.1587e-05   2.9161e+02
 4.8012e+00   2.7906e-04   1.1624e-05   2.9265e+02
 4.8094e+00   2.6663e-04   1.1853e-05   2.9371e+02
 4.8176e+00   2.5208e-04   1.1789e-05   2.9474e+02
 4.8258e+00   2.8197e-04   1.2036e-05   2.9579e+02
 4.8339e+00   2.8974e-04   1.1998e-05   2.9684e+02
 4.8421e+00   2.6832e-04   1.2162e-05   2.9787e+02
 4.8502e+00   2.7132e-04   1.2336e-05   2.9892e+02
 4.8583e+00   3.0685e-04   1.2539e-05   2.9997e+02
 4.8664e+00   3.1996e-04   1.2448e-05   3.0101e+02
 4.8744e+00   3.2559e-04   1.2481e-05   3.0206e+02
 4.8825e+00   3.4119e-04   1.2700e-05   3.0310e+02
 4.8906e+00   3.1945e-04   1.2616e-05   3.0415e+02
 4.8986e+00   3.2086e-04   1.2937e-05   3.0520e+02
 4.9066e+00   3.3920e-04   1.3118e-05   3.0624e+02
 4.9146e+00   3.6798e-04   1.3003e-05   3.0729e+02
 4.9226e+00   3.7542e-04   1.3093e-05   3.0833e+02
 4.9306e+00   3.1738e-04   1.2859e-05   3.0938e+02
 4.9385e+00   3.3132e-04   1.3067e-05   3.1043e+02
 4.9465e+00   3.4546e-04   1.3105e-05   3.1147e+02
 4.9544e+00   3.0031e-04   1.2993e-05   3.1253e+02
 4.9623e+00   3.0535e-04   1.3172e-05   3.1357e+02
 4.9702e+00   3.4506e-04   1.3530e-05   3.1462e+02
 4.9781e+00   3.7081e-04   1.3763e-05   3.1567e+02
 4.9860e+00   3.9889e-04   1.3741e-05   3.1672e+02
 4.9939e+00   4.2434e-04   1.3990e-05   3.1777e+02
 5.0017e+00   4.0169e-04   1.3665e-05   3.1881e+02
 5.0096e+00   4.0374e-04   1.3784e-05   3.1987e+02
 5.0174e+00   3.0857e-04   1.3788e-05   3.2091e+02
 5.0252e+00   3.0013e-04   1.3957e-05   3.2196e+02
 5.0330e+00   3.7071e-04   1.4432e-05   3.2301e+02
 5.0408e+00   4.0280e-04   1.4945e-05   3.2406e+02
 5.0485e+00   3.9462e-04   1.5146e-05   3.2512e+02
 5.0563e+00   4.2806e-04   1.4936e-05   3.2616e+02
 5.0641e+00   4.5050e-04   1.5176e-05   3.2722e+02
 5.0718e+00   4.5353e-04   1.5775e-05   3.2826e+02
 5.0795e+00   4.0108e-04   1.5478e-05   3.2932e+02
 5.0872e+00   3.8276e-04   1.6284e-05   3.3036e+02
 5.0949e+00   4.3779e-04   1.6152e-05   3.3142e+02
 5.1026e+00   4.5755e-04   1.6234e-05   3.3247e+02
 5.1102e+00   4.0104e-04   1.5860e-05   3.3352e+02
 5.1179e+00   3.9561e-04   1.5644e-05   3.3458e+02
 5.1255e+00   4.2298e-04   1.6043e-05   3.3563e+02
 5.1332e+00   3.6083e-04   1.6265e-05   3.3668e+02
 5.1408e+00   2.6177e-04   1.5629e-05   3.3773e+02
 5.1484e+00   2.6581e-04   1.5497e-05   3.3879e+02
 5.1560e+00   3.3946e-04   1.5908e-05   3.3984e+02
 5.1636e+00   3.3732e-04   1.5769e-05   3.4089e+02
 5.1711e+00   3.3297e-04   1.6102e-05   3.4195e+02
 5.1787e+00   3.7223e-04   1.6834e-05   3.4300e+02
 5.1862e+00   3.9842e-04   1.6519e-05   3.4405e+02
 5.1938e+00   4.3713e-04   1.6934e-05   3.4511e+02
 5.2013e+00   3.1080e-04   1.5929e-05   3.4616e+02
 5.2088e+00   2.5586e-04   1.5509e-05   3.4722e+02
 5.2163e+00   2.5743e-04   1.5835e-05   3.4827e+02
 5.2238e+00   2.9359e-04   1.5900e-05   3.4933e+02
 5.2312e+00   3.7221e-04   1.6395e-05   3.5038e+02
 5.2387e+00   3.6597e-04   1.6459e-05   3.5144e+02
 5.2461e+00   3.6821e-04   1.7010e-05   3.5250e+02
 5.2536e+00   3.6576e-04   1.6967e-05   3.5355e+02
 5.2610e+00   3.7527e-04   1.6888e-05   3.5461e+02
 5.2684e+00   3.2744e-04   1.7022e-05   3.5566e+02
 5.2758e+00   2.5719e-04   1.6748e-05   3.5672e+02
 5.2832e+00   2.9201e-04   1.6731e-05   3.5778e+02
 5.2906e+00   3.0127e-04   1.6937e-05   3.5883e+02
 5.3178e+00   3.3433e-04   1.2312e-06   5.5621e+01
 5.3779e+00   2.9304e-04   1.1861e-06   5.6690e+01
 5.4368e+00   2.6687e-04   1.1857e-06   5.7716e+01
 5.4947e+00   2.5217e-04   1.1830e-06   5.8695e+01
 5.5517e+00   2.3581e-04   1.1729e-06   5.9642e+01
 5.6078e+00   2.2582e-04   1.1590e-06   6.0580e+01
 5.6630e+00   2.1354e-04   1.1550e-06   6.1522e+01
 5.7174e+00   2.0525e-04   1.0976e-06   6.2466e+01
 5.7710e+00   2.0723e-04   1.1541e-06   6.3413e+01
 5.8238e+00   2.0248e-04   1.1701e-06   6.4360e+01
 5.8758e+00   1.9702e-04   1.1754e-06   6.5308e+01
 5.9270e+00   2.0736e-04   1.1881e-06   6.6254e+01
 5.9776e+00   2.2074e-04   1.2592e-06   6.7197e+01
 6.0274e+00   2.2661e-04   1.1546e-06   6.8136e+01
 6.0765e+00   2.2879e-04   1.2979e-06   6.9068e+01
